Lib,Seq_batch,ID_Sample
NS.1812.001.NEBNext_dual_i7_203---NEBNext_dual_i5_251.ARN_22_00001,1812,ARN_22_00001
NS.1812.001.NEBNext_dual_i7_205---NEBNext_dual_i5_253.ARN_22_00003,1812,ARN_22_00003
NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005,1812,ARN_22_00005
NS.1812.001.NEBNext_dual_i7_212---NEBNext_dual_i5_260.ARN_22_00010,1812,ARN_22_00010
NS.1812.001.NEBNext_dual_i7_213---NEBNext_dual_i5_261.ARN_22_00011,1812,ARN_22_00011
NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014,1812,ARN_22_00014
NS.1812.001.NEBNext_dual_i7_221---NEBNext_dual_i5_269.ARN_22_00019,1812,ARN_22_00019
NS.1812.001.NEBNext_dual_i7_227---NEBNext_dual_i5_275.ARN_22_00025,1812,ARN_22_00025
NS.1812.001.NEBNext_dual_i7_228---NEBNext_dual_i5_276.ARN_22_00026,1812,ARN_22_00026
NS.1812.001.NEBNext_dual_i7_229---NEBNext_dual_i5_277.ARN_22_00027,1812,ARN_22_00027
NS.1812.001.NEBNext_dual_i7_230---NEBNext_dual_i5_278.ARN_22_00028,1812,ARN_22_00028
NS.1812.001.NEBNext_dual_i7_231---NEBNext_dual_i5_279.ARN_22_00029,1812,ARN_22_00029
NS.1812.001.NEBNext_dual_i7_232---NEBNext_dual_i5_280.ARN_22_00030,1812,ARN_22_00030
NS.1812.001.NEBNext_dual_i7_233---NEBNext_dual_i5_281.ARN_22_00031,1812,ARN_22_00031
NS.1812.001.NEBNext_dual_i7_234---NEBNext_dual_i5_282.ARN_22_00032,1812,ARN_22_00032
NS.1812.001.NEBNext_dual_i7_235---NEBNext_dual_i5_283.ARN_22_00033,1812,ARN_22_00033
NS.1812.001.NEBNext_dual_i7_236---NEBNext_dual_i5_284.ARN_22_00034,1812,ARN_22_00034
NS.1812.001.NEBNext_dual_i7_239---NEBNext_dual_i5_287.ARN_22_00037,1812,ARN_22_00037
NS.1812.001.NEBNext_dual_i7_246---NEBNext_dual_i5_198.ARN_22_00044,1812,ARN_22_00044
NS.1812.001.NEBNext_dual_i7_249---NEBNext_dual_i5_201.ARN_22_00047,1812,ARN_22_00047
NS.1812.001.NEBNext_dual_i7_250---NEBNext_dual_i5_202.ARN_22_00048,1812,ARN_22_00048
NS.1828.004.NEBNext_dual_i7_105---NEBNext_dual_i5_105.ARN_22_00001,1828,ARN_22_00001
NS.1828.004.NEBNext_dual_i7_106---NEBNext_dual_i5_106.ARN_22_00002,1828,ARN_22_00002
NS.1828.004.NEBNext_dual_i7_107---NEBNext_dual_i5_107.ARN_22_00003,1828,ARN_22_00003
NS.1828.004.NEBNext_dual_i7_108---NEBNext_dual_i5_108.ARN_22_00004,1828,ARN_22_00004
NS.1828.004.NEBNext_dual_i7_109---NEBNext_dual_i5_109.ARN_22_00006,1828,ARN_22_00006
NS.1828.004.NEBNext_dual_i7_110---NEBNext_dual_i5_110.ARN_22_00007,1828,ARN_22_00007
NS.1828.004.NEBNext_dual_i7_111---NEBNext_dual_i5_111.ARN_22_00008,1828,ARN_22_00008
NS.1828.004.NEBNext_dual_i7_112---NEBNext_dual_i5_112.ARN_22_00009,1828,ARN_22_00009
NS.1828.004.NEBNext_dual_i7_113---NEBNext_dual_i5_113.ARN_22_00010,1828,ARN_22_00010
NS.1828.004.NEBNext_dual_i7_114---NEBNext_dual_i5_114.ARN_22_00012,1828,ARN_22_00012
NS.1828.004.NEBNext_dual_i7_115---NEBNext_dual_i5_115.ARN_22_00013,1828,ARN_22_00013
NS.1828.004.NEBNext_dual_i7_116---NEBNext_dual_i5_116.ARN_22_00015,1828,ARN_22_00015
NS.1828.004.NEBNext_dual_i7_117---NEBNext_dual_i5_117.ARN_22_00016,1828,ARN_22_00016
NS.1828.004.NEBNext_dual_i7_118---NEBNext_dual_i5_118.ARN_22_00017,1828,ARN_22_00017
NS.1828.004.NEBNext_dual_i7_119---NEBNext_dual_i5_119.ARN_22_00018,1828,ARN_22_00018
