Numero_unique_groupe,Numero_unique_specimen,Numero_reception_specimen,Longueur_mm,Poids_g,Provenance_specimen,Annee_reception_specimen,Mois_reception_specimen,Jour_reception_specimen,Personne_reception_specimen
G_21_09215,S_21_06000,S01,210,161.44,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06001,S02,189,106.75,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06002,S03,245,267.84,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06003,S04,230,216.97,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06004,S05,257,271.5,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06005,S06,194,122.82,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06006,S07,230,212.99,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06007,S08,226,210.95,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06008,S09,198,139.7,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06009,S10,232,222.79,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06010,S11,216,181.5,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06011,S12,209,162.25,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06012,S13,228,191.25,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06013,S14,263,321.86,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06014,S15,244,260.22,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06015,S16,250,296.84,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06016,S17,208,146.03,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06017,S18,234,214.25,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06018,S19,183,103.64,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06019,S20,220,189.98,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06020,S21,195,114.7,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06021,S22,234,214.3,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06022,S23,211,159.46,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06023,S24,216,168.24,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06024,S25,199,136.21,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06025,S26,219,177.66,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06026,S27,230,199.69,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06027,S28,219,184.6,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06028,S29,139,136.1,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06029,S30,203,140.97,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06030,S31,217,161.2,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06031,S32,212,186.66,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06032,S33,246,259.47,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06033,S34,209,145.03,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06034,S35,231,195.54,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06035,S36,215,178.47,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06036,S37,207,153.36,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06037,S38,197,142.41,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06038,S39,216,174.43,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06039,S40,235,221.53,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06040,S41,180,108.84,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06041,S42,238,229.58,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06042,S43,254,283.61,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06043,S44,206,156.28,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06044,S45,190,118.69,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06045,S46,216,172.87,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06046,S47,225,206.77,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06047,S48,242,245.65,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06048,S49,228,215.28,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06049,S50,197,137.24,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06050,S51,239,215.31,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06051,S52,235,221.09,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06052,S53,232,234.24,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06053,S54,200,147.68,Bassin IML,2021,10,20,Eric
G_21_09215,S_21_06054,S55,201,136.11,Bassin IML,2021,10,20,Eric
