"","ID_sample","ID_lab","Lib","Seq_batch","Numero_unique_groupe","Numero_unique_specimen","Weight","Length","TAG","Tank_exp","Tank_sample","Temperature_acclim","Temperature_sampling","Delta_acclim","Delta_temperature","DatHr_euthan","deltaT.ARN","Time","Sex_genet","ID","acclim","sampling","Delta_short","Delta_long"
"3","ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","M","1812.ARN_22_00005","7.5","5","-2.5","2.5"
"5","ARN_22_00011","S11","NS.1812.001.NEBNext_dual_i7_213---NEBNext_dual_i5_261.ARN_22_00011","1812","G_21_09215","S_21_06010",181.5,216,34183,"A2","A2",5,5,"10mo",0,44489.43,91,"10mo","F","1812.ARN_22_00011","5","5","0","0"
"6","ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","F","1812.ARN_22_00014","5","7.5","2.5","0"
"8","ARN_22_00025","S25","NS.1812.001.NEBNext_dual_i7_227---NEBNext_dual_i5_275.ARN_22_00025","1812","G_21_09215","S_21_06024",136.21,199,34377,"C4","C4",2.5,2.5,"10mo",0,44489.49,115,"10mo","M","1812.ARN_22_00025","2.5","2.5","0","-2.5"
"9","ARN_22_00026","S26","NS.1812.001.NEBNext_dual_i7_228---NEBNext_dual_i5_276.ARN_22_00026","1812","G_21_09215","S_21_06025",177.66,219,34289,"A3","C4",5,2.5,"10mo",2.5,44489.49,98,"24h","M-LOW","1812.ARN_22_00026","5","2.5","-2.5","0"
"10","ARN_22_00027","S27","NS.1812.001.NEBNext_dual_i7_229---NEBNext_dual_i5_277.ARN_22_00027","1812","G_21_09215","S_21_06026",199.69,230,33909,"A3","C4",5,2.5,"10mo",2.5,44489.49,121,"24h","F","1812.ARN_22_00027","5","2.5","-2.5","0"
"11","ARN_22_00028","S28","NS.1812.001.NEBNext_dual_i7_230---NEBNext_dual_i5_278.ARN_22_00028","1812","G_21_09215","S_21_06027",184.6,219,34291,"C4","C4",2.5,2.5,"10mo",0,44489.53,125,"24h","F-LOW","1812.ARN_22_00028","2.5","2.5","0","-2.5"
"12","ARN_22_00029","S29","NS.1812.001.NEBNext_dual_i7_231---NEBNext_dual_i5_279.ARN_22_00029","1812","G_21_09215","S_21_06028",136.1,139,34323,"C4","C4",2.5,2.5,"10mo",0,44489.53,94,"10mo","F-LOW","1812.ARN_22_00029","2.5","2.5","0","-2.5"
"13","ARN_22_00030","S30","NS.1812.001.NEBNext_dual_i7_232---NEBNext_dual_i5_280.ARN_22_00030","1812","G_21_09215","S_21_06029",140.97,203,33723,"A3","C4",5,2.5,"10mo",2.5,44489.54,96,"24h","M-LOW","1812.ARN_22_00030","5","2.5","-2.5","0"
"14","ARN_22_00031","S31","NS.1812.001.NEBNext_dual_i7_233---NEBNext_dual_i5_281.ARN_22_00031","1812","G_21_09215","S_21_06030",161.2,217,34125,"A2","C3",5,2.5,"3mo",2.5,44489.54,101,"24h","F","1812.ARN_22_00031","5","2.5","-2.5","0"
"15","ARN_22_00032","S32","NS.1812.001.NEBNext_dual_i7_234---NEBNext_dual_i5_282.ARN_22_00032","1812","G_21_09215","S_21_06031",186.66,212,34191,"C3","C3",2.5,2.5,"10mo",0,44489.54,81,"10mo","M-LOW","1812.ARN_22_00032","2.5","2.5","0","-2.5"
"17","ARN_22_00034","S34","NS.1812.001.NEBNext_dual_i7_236---NEBNext_dual_i5_284.ARN_22_00034","1812","G_21_09215","S_21_06033",145.03,209,34236,"A2","C3",5,2.5,"10mo",2.5,44489.55,82,"24h","F","1812.ARN_22_00034","5","2.5","-2.5","0"
"18","ARN_22_00037","S37","NS.1812.001.NEBNext_dual_i7_239---NEBNext_dual_i5_287.ARN_22_00037","1812","G_21_09215","S_21_06036",153.36,207,33900,"B4","D3",7.5,10,"10mo",-2.5,44489.56,76,"24h","M","1812.ARN_22_00037","7.5","10","2.5","2.5"
"19","ARN_22_00044","S44","NS.1812.001.NEBNext_dual_i7_246---NEBNext_dual_i5_198.ARN_22_00044","1812","G_21_09215","S_21_06043",156.28,206,34534,"D1","D1",10,10,"3mo",0,44489.58,75,"3mo","M","1812.ARN_22_00044","10","10","0","5"
"20","ARN_22_00047","S47","NS.1812.001.NEBNext_dual_i7_249---NEBNext_dual_i5_201.ARN_22_00047","1812","G_21_09215","S_21_06046",206.77,225,34482,"D1","D1",10,10,"3mo",0,44494.35,100,"3mo","M","1812.ARN_22_00047","10","10","0","5"
"21","ARN_22_00048","S48","NS.1812.001.NEBNext_dual_i7_250---NEBNext_dual_i5_202.ARN_22_00048","1812","G_21_09215","S_21_06047",245.65,242,33674,"D1","D1",10,10,"3mo",0,44494.35,99,"3mo","M","1812.ARN_22_00048","10","10","0","5"
"23","ARN_22_00002","S02","NS.1828.004.NEBNext_dual_i7_106---NEBNext_dual_i5_106.ARN_22_00002","1828","G_21_09215","S_21_06001",106.75,189,34195,"A3","A3",5,5,"10mo",0,44489.37,168,"10mo","F-LOW","1828.ARN_22_00002","5","5","0","0"
"26","ARN_22_00006","S06","NS.1828.004.NEBNext_dual_i7_109---NEBNext_dual_i5_109.ARN_22_00006","1828","G_21_09215","S_21_06005",122.82,194,34163,"A3","A3",5,5,"10mo",0,44489.4,119,"10mo","M","1828.ARN_22_00006","5","5","0","0"
"27","ARN_22_00007","S07","NS.1828.004.NEBNext_dual_i7_110---NEBNext_dual_i5_110.ARN_22_00007","1828","G_21_09215","S_21_06006",212.99,230,33945,"B1","A2",7.5,5,"3mo",2.5,44489.41,133,"24h","F-LOW","1828.ARN_22_00007","7.5","5","-2.5","2.5"
"28","ARN_22_00008","S08","NS.1828.004.NEBNext_dual_i7_111---NEBNext_dual_i5_111.ARN_22_00008","1828","G_21_09215","S_21_06007",210.95,226,34009,"B1","A2",7.5,5,"3mo",2.5,44489.42,107,"24h","M","1828.ARN_22_00008","7.5","5","-2.5","2.5"
