"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value","padj","ontology"
"1","GO:0006107","oxaloacetate metabolic process",64,56,3.05,"< 1e-30",NA,"BP"
"2","GO:0006108","malate metabolic process",64,55,3.05,"< 1e-30",NA,"BP"
"3","GO:0006734","NADH metabolic process",66,55,3.15,"< 1e-30",NA,"BP"
"4","GO:0006936","muscle contraction",505,119,24.09,"< 1e-30",NA,"BP"
"5","GO:0019674","NAD metabolic process",95,56,4.53,"< 1e-30",NA,"BP"
"6","GO:0006099","tricarboxylic acid cycle",114,58,5.44,"< 1e-30",NA,"BP"
"7","GO:0019362","pyridine nucleotide metabolic process",136,61,6.49,"< 1e-30",NA,"BP"
"8","GO:0046496","nicotinamide nucleotide metabolic process",136,61,6.49,"< 1e-30",NA,"BP"
"9","GO:0072524","pyridine-containing compound metabolic process",137,61,6.53,"< 1e-30",NA,"BP"
"10","GO:0003012","muscle system process",707,129,33.72,"< 1e-30",NA,"BP"
"11","GO:0043648","dicarboxylic acid metabolic process",166,63,7.92,"< 1e-30",NA,"BP"
"12","GO:0003008","system process",2034,209,97.02,"2.0e-27",2.25046e-23,"BP"
"13","GO:0006937","regulation of muscle contraction",199,55,9.49,"4.3e-27",2.25046e-23,"BP"
"14","GO:0034762","regulation of transmembrane transport",889,123,42.4,"5.1e-27",2.25046e-23,"BP"
"15","GO:0034220","monoatomic ion transmembrane transport",1057,136,50.42,"1.1e-26",3.64045e-23,"BP"
"16","GO:0055085","transmembrane transport",1524,170,72.69,"4.5e-26",1.19142e-22,"BP"
"17","GO:0034765","regulation of monoatomic ion transmembrane transport",786,112,37.49,"1.0e-25",2.20633333333333e-22,"BP"
"18","GO:0006182","cGMP biosynthetic process",22,20,1.05,"6.6e-25",1.24815428571429e-21,"BP"
"19","GO:0009060","aerobic respiration",305,64,14.55,"4.8e-24",7.20735555555556e-21,"BP"
"20","GO:0007168","receptor guanylyl cyclase signaling pathway",23,20,1.1,"4.9e-24",7.20735555555556e-21,"BP"
"21","GO:0006811","monoatomic ion transport",1427,157,68.06,"2.0e-23",2.6476e-20,"BP"
"22","GO:0046068","cGMP metabolic process",24,20,1.14,"2.8e-23",3.36967272727273e-20,"BP"
"23","GO:0009190","cyclic nucleotide biosynthetic process",32,22,1.53,"2.8e-22",3.08886666666667e-19,"BP"
"24","GO:0043269","regulation of monoatomic ion transport",922,115,43.98,"1.7e-21",1.73112307692308e-18,"BP"
"25","GO:0006163","purine nucleotide metabolic process",792,103,37.78,"1.2e-20",1.13468571428571e-17,"BP"
"26","GO:0072521","purine-containing compound metabolic process",833,105,39.73,"5.0e-20",4.41266666666667e-17,"BP"
"27","GO:0009117","nucleotide metabolic process",875,108,41.74,"7.0e-20",5.791625e-17,"BP"
"28","GO:0006753","nucleoside phosphate metabolic process",881,108,42.02,"1.2e-19",9.3444705882353e-17,"BP"
"29","GO:0044057","regulation of system process",704,93,33.58,"3.4e-19",2.50051111111111e-16,"BP"
"30","GO:0045333","cellular respiration",384,65,18.32,"3.6e-19",2.50825263157895e-16,"BP"
"31","GO:0090257","regulation of muscle system process",377,63,17.98,"2.5e-18",1.65475e-15,"BP"
"32","GO:0006941","striated muscle contraction",278,53,13.26,"3.6e-18",2.26937142857143e-15,"BP"
"33","GO:0015980","energy derivation by oxidation of organic compounds",526,76,25.09,"4.5e-18",2.70777272727273e-15,"BP"
"34","GO:0055086","nucleobase-containing small molecule metabolic process",960,110,45.79,"8.4e-18",4.83474782608696e-15,"BP"
"35","GO:0042407","cristae formation",55,23,2.62,"1.4e-16",7.72216666666667e-14,"BP"
"36","GO:0052652","cyclic purine nucleotide metabolic process",56,23,2.67,"2.3e-16",1.217896e-13,"BP"
"37","GO:0009187","cyclic nucleotide metabolic process",57,23,2.72,"3.6e-16",1.83295384615385e-13,"BP"
"38","GO:0003007","heart morphogenesis",474,67,22.61,"1.4e-15",6.86414814814815e-13,"BP"
"39","GO:0006091","generation of precursor metabolites and energy",726,87,34.63,"2.1e-15",9.9285e-13,"BP"
"40","GO:0055001","muscle cell development",734,87,35.01,"3.9e-15",1.78028275862069e-12,"BP"
"41","GO:0019752","carboxylic acid metabolic process",1186,119,56.57,"7.7e-15",3.39775333333333e-12,"BP"
"42","GO:0043436","oxoacid metabolic process",1193,119,56.9,"1.2e-14",5.12438709677419e-12,"BP"
"43","GO:0007007","inner mitochondrial membrane organization",72,24,3.43,"1.3e-14",5.3779375e-12,"BP"
"44","GO:0006082","organic acid metabolic process",1203,119,57.38,"2.1e-14",8.42418181818182e-12,"BP"
"45","GO:0019637","organophosphate metabolic process",1402,132,66.87,"3.1e-14",1.20699411764706e-11,"BP"
"46","GO:0055010","ventricular cardiac muscle tissue morphogenesis",56,21,2.67,"4.0e-14",1.51291428571429e-11,"BP"
"47","GO:0006942","regulation of striated muscle contraction",123,30,5.87,"8.5e-14",3.12563888888889e-11,"BP"
"48","GO:0003229","ventricular cardiac muscle tissue development",61,21,2.91,"2.9e-13",1.03757297297297e-10,"BP"
"49","GO:0061061","muscle structure development",1513,135,72.17,"8.5e-13",2.96113157894737e-10,"BP"
"50","GO:0014883","transition between fast and slow fiber",14,11,0.67,"8.8e-13",2.9870358974359e-10,"BP"
"51","GO:0097553","calcium ion transmembrane import into cytosol",192,36,9.16,"1.5e-12",4.96425e-10,"BP"
"52","GO:0090403","oxidative stress-induced premature senescence",18,12,0.86,"1.9e-12",6.13468292682927e-10,"BP"
"53","GO:0072337","modified amino acid transport",61,20,2.91,"3.0e-12",9.45571428571429e-10,"BP"
"54","GO:0015822","ornithine transport",12,10,0.57,"3.5e-12",1.02962222222222e-09,"BP"
"55","GO:0089709","L-histidine transmembrane transport",12,10,0.57,"3.5e-12",1.02962222222222e-09,"BP"
"56","GO:1903352","L-ornithine transmembrane transport",12,10,0.57,"3.5e-12",1.02962222222222e-09,"BP"
"57","GO:0003009","skeletal muscle contraction",84,23,4.01,"5.0e-12",1.43891304347826e-09,"BP"
"58","GO:0045214","sarcomere organization",252,41,12.02,"5.3e-12",1.49279574468085e-09,"BP"
"59","GO:0098703","calcium ion import across plasma membrane",16,11,0.76,"9.7e-12",2.67517916666667e-09,"BP"
"60","GO:0070296","sarcoplasmic reticulum calcium ion transport",80,22,3.82,"1.3e-11",3.51212244897959e-09,"BP"
"61","GO:1902022","L-lysine transport",13,10,0.62,"1.5e-11",3.9714e-09,"BP"
"62","GO:0090400","stress-induced premature senescence",21,12,1,"2.6e-11",6.74878431372549e-09,"BP"
"63","GO:0060048","cardiac muscle contraction",203,35,9.68,"3.6e-11",9.16476923076923e-09,"BP"
"64","GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",69,20,3.29,"3.9e-11",9.56077777777778e-09,"BP"
"65","GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum",69,20,3.29,"3.9e-11",9.56077777777778e-09,"BP"
"66","GO:0015801","aromatic amino acid transport",14,10,0.67,"4.9e-11",1.13800350877193e-08,"BP"
"67","GO:0045117","azole transmembrane transport",14,10,0.67,"4.9e-11",1.13800350877193e-08,"BP"
"68","GO:0007517","muscle organ development",870,87,41.5,"4.9e-11",1.13800350877193e-08,"BP"
"69","GO:0002523","leukocyte migration involved in inflammatory response",44,16,2.1,"7.6e-11",1.73463448275862e-08,"BP"
"70","GO:0071312","cellular response to alkaloid",33,14,1.57,"1.0e-10",2.24372881355932e-08,"BP"
