"","Transcrip_name","Compare"
"1","SEFA.314.1","LongTerm"
"2","SEFA.314.2","LongTerm"
"3","SEFA.579.1","LongTerm"
"4","SEFA.916.1","LongTerm"
"5","SEFA.1414.1","LongTerm"
"6","SEFA.1733.1","LongTerm"
"7","SEFA.2309.1","LongTerm"
"8","SEFA.2533.1","LongTerm"
"9","SEFA.3119.1","LongTerm"
"10","SEFA.3496.5","LongTerm"
"11","SEFA.3496.10","LongTerm"
"12","SEFA.3807.1","LongTerm"
"13","SEFA.3807.2","LongTerm"
"14","SEFA.4314.1","LongTerm"
"15","SEFA.4809.1","LongTerm"
"16","SEFA.5720.1","LongTerm"
"17","SEFA.5720.2","LongTerm"
"18","SEFA.5720.3","LongTerm"
"19","SEFA.5870.2","LongTerm"
"20","SEFA.5878.2","LongTerm"
"21","SEFA.6250.1","LongTerm"
"22","SEFA.6396.1","LongTerm"
"23","SEFA.7071.1","LongTerm"
"24","SEFA.7168.1","LongTerm"
"25","SEFA.7318.1","LongTerm"
"26","SEFA.7979.1","LongTerm"
"27","SEFA.8237.3","LongTerm"
"28","SEFA.9543.1","LongTerm"
"29","SEFA.9643.1","LongTerm"
"30","SEFA.9643.2","LongTerm"
"31","SEFA.9947.1","LongTerm"
"32","SEFA.9949.1","LongTerm"
"33","SEFA.9949.4","LongTerm"
"34","SEFA.9949.5","LongTerm"
"35","SEFA.9949.6","LongTerm"
"36","SEFA.10529.1","LongTerm"
"37","SEFA.10529.2","LongTerm"
"38","SEFA.10645.1","LongTerm"
"39","SEFA.10671.1","LongTerm"
"40","SEFA.10671.2","LongTerm"
"41","SEFA.10671.3","LongTerm"
"42","SEFA.10677.1","LongTerm"
"43","SEFA.10678.1","LongTerm"
"44","SEFA.10678.2","LongTerm"
"45","SEFA.11038.1","LongTerm"
"46","SEFA.11038.2","LongTerm"
"47","SEFA.11280.2","LongTerm"
"48","SEFA.11280.3","LongTerm"
"49","SEFA.11280.4","LongTerm"
"50","SEFA.11280.6","LongTerm"
"51","SEFA.11281.1","LongTerm"
"52","SEFA.11281.2","LongTerm"
"53","SEFA.11281.3","LongTerm"
"54","SEFA.11552.1","LongTerm"
"55","SEFA.11711.1","LongTerm"
"56","SEFA.12195.2","LongTerm"
"57","SEFA.12795.1","LongTerm"
"58","SEFA.13145.1","LongTerm"
"59","SEFA.13145.2","LongTerm"
"60","SEFA.13166.1","LongTerm"
"61","SEFA.13166.2","LongTerm"
"62","SEFA.13166.3","LongTerm"
"63","SEFA.13292.1","LongTerm"
"64","SEFA.13388.1","LongTerm"
"65","SEFA.13572.1","LongTerm"
"66","SEFA.14653.1","LongTerm"
"67","SEFA.14653.2","LongTerm"
"68","SEFA.14871.1","LongTerm"
"69","SEFA.14909.1","LongTerm"
"70","SEFA.15177.1","LongTerm"
"71","SEFA.15686.1","LongTerm"
"72","SEFA.17028.1","LongTerm"
