"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0003008","GO:0003008",1,"GO:0003008",22.6477287018695,0,"system process","system process",0.841779279279279,0.5495,0
"GO:0006937","GO:0006937",2,"GO:0006937",22.6477287018695,16,"regulation of muscle contraction","regulation of muscle contraction",0.899923423423423,0.53225,0
"GO:0034762","GO:0034762",3,"GO:0034762",22.6477287018695,0,"regulation of transmembrane transport","regulation of transmembrane transport",0.844824324324324,0.512875,0
"GO:0034220","GO:0034220",4,"GO:0034220",22.4388449294176,103,"monoatomic ion transmembrane transport","monoatomic ion transmembrane transport",0.836436936936937,0.562107142857143,0
"GO:0055085","GO:0055085",4,"GO:0034220",21.9239351138085,611,"transmembrane transport","monoatomic ion transmembrane transport",0.812810810810811,0.591928571428571,0.788
"GO:0034765","GO:0034765",3,"GO:0034762",21.6563288736315,164,"regulation of monoatomic ion transmembrane transport","regulation of transmembrane transport",0.863837837837838,0.502625,0.791
"GO:0006182","GO:0006182",5,"GO:0006182",20.9037317277202,29,"cGMP biosynthetic process","cGMP biosynthetic process",0.929882882882883,0.4334,0
"GO:0007168","GO:0007168",7,"GO:0007168",20.1422240526586,16,"receptor guanylyl cyclase signaling pathway","receptor guanylyl cyclase signaling pathway",0.904752252252252,0.62175,0
"GO:0009060","GO:0009060",6,"GO:0009060",20.1422240526586,11,"aerobic respiration","aerobic respiration",0.915554054054054,0.5258,0
"GO:0006811","GO:0006811",4,"GO:0034220",19.5771476275838,617,"monoatomic ion transport","monoatomic ion transmembrane transport",0.871981981981982,0.568714285714286,0.691
"GO:0046068","GO:0046068",5,"GO:0006182",19.4724122770638,0,"cGMP metabolic process","cGMP biosynthetic process",0.915454954954955,0.4444,0.66
"GO:0009190","GO:0009190",5,"GO:0006182",18.5102008379532,27,"cyclic nucleotide biosynthetic process","cGMP biosynthetic process",0.914378378378378,0.3792,0.673
"GO:0043269","GO:0043269",3,"GO:0034762",17.7616720541764,7,"regulation of monoatomic ion transport","regulation of transmembrane transport",0.878698198198198,0.52925,0.595
"GO:0006163","GO:0006163",5,"GO:0006182",16.9451244128784,5,"purine nucleotide metabolic process","cGMP biosynthetic process",0.898855855855856,0.374133333333333,0.558
"GO:0072521","GO:0072521",5,"GO:0006182",16.3552988779675,0,"purine-containing compound metabolic process","cGMP biosynthetic process",0.889783783783784,0.511733333333333,0.421
"GO:0009117","GO:0009117",5,"GO:0006182",16.2371995658895,14,"nucleotide metabolic process","cGMP biosynthetic process",0.893054054054054,0.3844,0.472
"GO:0006753","GO:0006753",5,"GO:0006182",16.0294452985785,2,"nucleoside phosphate metabolic process","cGMP biosynthetic process",0.888990990990991,0.377,0.492
"GO:0044057","GO:0044057",2,"GO:0006937",15.6019712113089,0,"regulation of system process","regulation of muscle contraction",0.863810810810811,0.622083333333333,0.677
"GO:0045333","GO:0045333",6,"GO:0009060",15.6006287234334,8,"cellular respiration","aerobic respiration",0.901972972972973,0.4846,0.844
"GO:0090257","GO:0090257",2,"GO:0006937",14.7812676102398,1,"regulation of muscle system process","regulation of muscle contraction",0.884527027027027,0.568666666666667,0.82
"GO:0006941","GO:0006941",2,"GO:0006937",14.6440944172144,1,"striated muscle contraction","regulation of muscle contraction",0.903387387387387,0.515916666666667,0.496
"GO:0015980","GO:0015980",6,"GO:0009060",14.5673877902947,0,"energy derivation by oxidation of organic compounds","aerobic respiration",0.883554054054054,0.4784,0.732
"GO:0055086","GO:0055086",5,"GO:0006182",14.3156261732035,0,"nucleobase-containing small molecule metabolic process","cGMP biosynthetic process",0.878603603603604,0.437333333333333,0.427
"GO:0042407","GO:0042407",8,"GO:0042407",13.1122608292812,14,"cristae formation","cristae formation",0.928549549549549,0.691,0
"GO:0052652","GO:0052652",5,"GO:0006182",12.9143897959023,0,"cyclic purine nucleotide metabolic process","cGMP biosynthetic process",0.920463963963964,0.390533333333333,0.811
"GO:0009187","GO:0009187",5,"GO:0006182",12.7368484704513,0,"cyclic nucleotide metabolic process","cGMP biosynthetic process",0.898027027027027,0.413533333333333,0.47
"GO:0003007","GO:0003007",9,"GO:0003007",12.1634133517286,77,"heart morphogenesis","heart morphogenesis",0.879873873873874,0.538705882352941,0
"GO:0006091","GO:0006091",6,"GO:0009060",12.0031163598561,1,"generation of precursor metabolites and energy","aerobic respiration",0.857702702702703,0.5086,0.65
