"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0030017","GO:0030017",1,"GO:0030017",25.4571745730408,11,"sarcomere","sarcomere",0.588415094339623,0.4699,0
"GO:0061617","GO:0061617",2,"GO:0061617",16.5821133096491,15,"MICOS complex","MICOS complex",0.823867924528302,0.773571428571429,0
"GO:0099512","GO:0099512",3,"GO:0099512",15.4571745730408,0,"supramolecular fiber","supramolecular fiber",0.674396226415094,0.587083333333333,0
"GO:0099081","GO:0099081",3,"GO:0099512",15.4571745730408,0,"supramolecular polymer","supramolecular fiber",0.67111320754717,0.563,0.812
"GO:0005891","GO:0005891",2,"GO:0061617",15.4571745730408,52,"voltage-gated calcium channel complex","MICOS complex",0.809660377358491,0.514571428571429,0.239
"GO:0014802","GO:0014802",1,"GO:0030017",14.8831433053131,0,"terminal cisterna","sarcomere",0.742528301886793,0.643266666666667,0.318
"GO:0098797","GO:0098797",2,"GO:0061617",14.7971226347352,1,"plasma membrane protein complex","MICOS complex",0.769641509433962,0.547714285714286,0.269
"GO:0005865","GO:0005865",1,"GO:0030017",14.6928116071428,8,"striated muscle thin filament","sarcomere",0.663943396226415,0.548633333333333,0.777
"GO:1990425","GO:1990425",1,"GO:0030017",14.2652890468019,0,"ryanodine receptor complex","sarcomere",0.768867924528302,0.7448,0.202
"GO:0005861","GO:0005861",1,"GO:0030017",14.0258108088818,48,"troponin complex","sarcomere",0.658509433962264,0.575133333333333,0.708
"GO:0034704","GO:0034704",2,"GO:0061617",12.0920270777651,5,"calcium channel complex","MICOS complex",0.829528301886792,0.583857142857143,0.229
"GO:0099080","GO:0099080",3,"GO:0099512",10.5363558190884,0,"supramolecular complex","supramolecular fiber",0.65922641509434,0.541666666666667,0.657
"GO:0036379","GO:0036379",1,"GO:0030017",10.395026666292,0,"myofilament","sarcomere",0.599433962264151,0.489366666666667,0.825
"GO:0030312","GO:0030312",3,"GO:0099512",10.2141365243545,0,"external encapsulating structure","supramolecular fiber",0.712547169811321,0.50775,0.313
"GO:0062023","GO:0062023",3,"GO:0099512",10.03666873647,101,"collagen-containing extracellular matrix","supramolecular fiber",0.777566037735849,0.531583333333333,0.198
"GO:0030016","GO:0030016",1,"GO:0030017",9.98460094607188,16,"myofibril","sarcomere",0.611415094339623,0.472533333333333,0.912
"GO:0043292","GO:0043292",1,"GO:0030017",9.94726080492485,2,"contractile fiber","sarcomere",0.591283018867925,0.447433333333333,0.862
"GO:0005581","GO:0005581",4,"GO:0005581",9.7582045687048,62,"collagen trimer","collagen trimer",0.83911320754717,0.8385,0
"GO:0033017","GO:0033017",1,"GO:0030017",9.62198482168681,10,"sarcoplasmic reticulum membrane","sarcomere",0.773830188679245,0.685466666666667,0.253
"GO:0031012","GO:0031012",3,"GO:0099512",9.10499205492946,160,"extracellular matrix","supramolecular fiber",0.750301886792453,0.517916666666667,0.244
"GO:0098796","GO:0098796",2,"GO:0061617",9.0390311782805,0,"membrane protein complex","MICOS complex",0.729169811320755,0.529142857142857,0.366
"GO:0005583","GO:0005583",3,"GO:0099512",8.86465989961909,0,"fibrillar collagen trimer","supramolecular fiber",0.726509433962264,0.5295,0.516
"GO:0098643","GO:0098643",3,"GO:0099512",8.86465989961909,0,"banded collagen fibril","supramolecular fiber",0.715924528301887,0.485416666666667,0.631
"GO:0099513","GO:0099513",1,"GO:0030017",8.70705204625742,1,"polymeric cytoskeletal fiber","sarcomere",0.650584905660377,0.538,0.619
"GO:0005874","GO:0005874",1,"GO:0030017",7.65099459905693,265,"microtubule","sarcomere",0.683283018867925,0.576333333333333,0.515
"GO:0016529","GO:0016529",1,"GO:0030017",7.61687541590833,31,"sarcoplasmic reticulum","sarcomere",0.711358490566038,0.598666666666667,0.366
"GO:0098644","GO:0098644",3,"GO:0099512",7.39022778341021,0,"complex of collagen trimers","supramolecular fiber",0.729698113207547,0.477166666666667,0.368
"GO:0005788","GO:0005788",1,"GO:0030017",7.2915487476633,44,"endoplasmic reticulum lumen","sarcomere",0.746660377358491,0.646266666666667,0.352
"GO:1990752","GO:1990752",1,"GO:0030017",7.14142132055613,0,"microtubule end","sarcomere",0.639867924528302,0.5567,0.518
"GO:0031674","GO:0031674",1,"GO:0030017",6.93429582776048,5,"I band","sarcomere",0.605283018867925,0.503,0.91
"GO:0030018","GO:0030018",1,"GO:0030017",6.81820249838009,71,"Z disc","sarcomere",0.619735849056604,0.531033333333333,0.843
"GO:0097512","GO:0097512",1,"GO:0030017",6.33393562131041,0,"cardiac myofibril","sarcomere",0.648603773584906,0.529633333333333,0.812
"GO:0016528","GO:0016528",1,"GO:0030017",5.93429582776048,0,"sarcoplasm","sarcomere",0.694584905660377,0.635666666666667,0.435
"GO:0005790","GO:0005790",1,"GO:0030017",5.81256223102739,4,"smooth endoplasmic reticulum","sarcomere",0.719698113207547,0.622166666666667,0.39
"GO:0005955","GO:0005955",4,"GO:0005581",5.6332658320965,6,"calcineurin complex","collagen trimer",0.898188679245283,0.8385,0.323
"GO:0014701","GO:0014701",1,"GO:0030017",5.6332658320965,0,"junctional sarcoplasmic reticulum membrane","sarcomere",0.778018867924528,0.694,0.25
"GO:0033018","GO:0033018",1,"GO:0030017",5.3264062927718,5,"sarcoplasmic reticulum lumen","sarcomere",0.765735849056604,0.667066666666667,0.297
"GO:0030314","GO:0030314",1,"GO:0030017",5.25880691927399,10,"junctional membrane complex","sarcomere",0.713358490566038,0.692066666666667,0.352
"GO:1990454","GO:1990454",2,"GO:0061617",4.93429582776048,5,"L-type voltage-gated calcium channel complex","MICOS complex",0.802962264150943,0.553142857142857,0.223
"GO:0036449","GO:0036449",1,"GO:0030017",4.78048096341595,4,"microtubule minus-end","sarcomere",0.671358490566038,0.595666666666667,0.476
"GO:0071944","GO:0071944",3,"GO:0099512",4.72753574893835,7,"cell periphery","supramolecular fiber",0.700264150943396,0.5375,0.357
"GO:0031672","GO:0031672",1,"GO:0030017",3.91905586120375,6,"A band","sarcomere",0.605283018867925,0.503,0.91
"GO:0005592","GO:0005592",3,"GO:0099512",3.8353705235171,2,"collagen type XI trimer","supramolecular fiber",0.742188679245283,0.5345,0.502
"GO:0097449","GO:0097449",5,"GO:0097449",3.78887338847125,0,"astrocyte projection","astrocyte projection",0.843962264150943,0.5835,0
"GO:0014705","GO:0014705",1,"GO:0030017",3.7582045687048,0,"C zone","sarcomere",0.619735849056604,0.531033333333333,0.843
"GO:0005942","GO:0005942",2,"GO:0061617",3.54014880810558,25,"phosphatidylinositol 3-kinase complex","MICOS complex",0.809283018867925,0.659142857142857,0.259
"GO:1905721","GO:1905721",1,"GO:0030017",3.45717457304082,0,"mitotic spindle astral microtubule end","sarcomere",0.708452830188679,0.612033333333333,0.422
"GO:0061673","GO:0061673",1,"GO:0030017",3.45717457304082,2,"mitotic spindle astral microtubule","sarcomere",0.716471698113208,0.608366666666667,0.443
"GO:0000235","GO:0000235",1,"GO:0030017",3.45717457304082,1,"astral microtubule","sarcomere",0.688792452830189,0.569066666666667,0.502
"GO:0005818","GO:0005818",1,"GO:0030017",3.45717457304082,0,"aster","sarcomere",0.671188679245283,0.561833333333333,0.54
"GO:0005576","GO:0005576",3,"GO:0099512",3.28968348574706,1010,"extracellular region","supramolecular fiber",0.739811320754717,0.662916666666667,0.357
"GO:0035189","GO:0035189",1,"GO:0030017",3.14005775748338,1,"Rb-E2F complex","sarcomere",0.796735849056604,0.771133333333333,0.251
"GO:0097450","GO:0097450",5,"GO:0097449",3.14005775748338,0,"astrocyte end-foot","astrocyte projection",0.860433962264151,0.5835,0.833
