"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0043648","GO:0043648",1,"GO:0043648",24.7989307688487,0,"dicarboxylic acid metabolic process","dicarboxylic acid metabolic process",0.90585559566787,0.6675,0
"GO:1990227","GO:1990227",2,"GO:1990227",20.7020207558406,0,"paranodal junction maintenance","paranodal junction maintenance",0.926137184115523,0.73851724137931,0
"GO:0003012","GO:0003012",3,"GO:0003012",20.4801720062243,0,"muscle system process","muscle system process",0.878725631768953,0.530545454545455,0
"GO:0071205","GO:0071205",4,"GO:0071205",18.5211306139032,2,"protein localization to juxtaparanode region of axon","protein localization to juxtaparanode region of axon",0.904480144404332,0.544071428571429,0
"GO:0070966","GO:0070966",5,"GO:0070966",18.1457182550734,2,"nuclear-transcribed mRNA catabolic process, no-go decay","nuclear-transcribed mRNA catabolic process, no-go decay",0.910519855595668,0.712571428571429,0
"GO:0002175","GO:0002175",4,"GO:0071205",18.0434794085602,0,"protein localization to paranode region of axon","protein localization to juxtaparanode region of axon",0.904480144404332,0.544071428571429,0.788
"GO:0030447","GO:0030447",9,"GO:0030447",17.9450588045269,0,"filamentous growth","filamentous growth",0.910151624548736,0.9012,0
"GO:0001402","GO:0001402",7,"GO:0001402",17.9450588045269,0,"signal transduction involved in filamentous growth","signal transduction involved in filamentous growth",0.877072202166065,0.668625,0
"GO:0006937","GO:0006937",6,"GO:0006937",17.9450588045269,16,"regulation of muscle contraction","regulation of muscle contraction",0.894007220216607,0.586882352941176,0
"GO:0007232","GO:0007232",7,"GO:0001402",17.9450588045269,0,"osmosensory signaling pathway via Sho1 osmosensor","signal transduction involved in filamentous growth",0.912202166064982,0.53225,0.475
"GO:0006074","GO:0006074",8,"GO:0006074",17.9450588045269,0,"(1->3)-beta-D-glucan metabolic process","(1->3)-beta-D-glucan metabolic process",0.900902527075812,0.491266666666667,0
"GO:0051273","GO:0051273",8,"GO:0006074",17.9450588045269,0,"beta-glucan metabolic process","(1->3)-beta-D-glucan metabolic process",0.893642599277978,0.463733333333333,0.899
"GO:0006075","GO:0006075",8,"GO:0006074",17.9450588045269,0,"(1->3)-beta-D-glucan biosynthetic process","(1->3)-beta-D-glucan metabolic process",0.917057761732852,0.4614,0.665
"GO:0051274","GO:0051274",8,"GO:0006074",17.9450588045269,0,"beta-glucan biosynthetic process","(1->3)-beta-D-glucan metabolic process",0.913072202166065,0.445733333333333,0.581
"GO:0000282","GO:0000282",10,"GO:0000282",16.728349694563,0,"cellular bud site selection","cellular bud site selection",0.936263537906137,1,0
"GO:0071852","GO:0071852",2,"GO:1990227",16.728349694563,0,"fungal-type cell wall organization or biogenesis","paranodal junction maintenance",0.878108303249097,0.760862068965517,0.159
"GO:0031505","GO:0031505",2,"GO:1990227",16.728349694563,0,"fungal-type cell wall organization","paranodal junction maintenance",0.902310469314079,0.708034482758621,0.208
"GO:0044057","GO:0044057",6,"GO:0006937",16.2945354292624,0,"regulation of system process","regulation of muscle contraction",0.853725631768953,0.506882352941176,0.677
"GO:0030866","GO:0030866",2,"GO:1990227",15.5233971602696,23,"cortical actin cytoskeleton organization","paranodal junction maintenance",0.900830324909747,0.696827586206897,0.184
"GO:0071555","GO:0071555",2,"GO:1990227",14.923869505457,0,"cell wall organization","paranodal junction maintenance",0.875790613718411,0.643931034482759,0.283
"GO:0006182","GO:0006182",11,"GO:0006182",14.8386034736126,29,"cGMP biosynthetic process","cGMP biosynthetic process",0.930480144404332,0.524533333333333,0
"GO:0007586","GO:0007586",3,"GO:0003012",14.7581366978196,4,"digestion","muscle system process",0.876234657039711,0.642818181818182,0.428
"GO:0003008","GO:0003008",3,"GO:0003012",14.7484781570796,0,"system process","muscle system process",0.854281588447653,0.519727272727273,0.788
"GO:0022600","GO:0022600",3,"GO:0003012",14.6672586495814,0,"digestive system process","muscle system process",0.889812274368231,0.631363636363636,0.532
"GO:1901261","GO:1901261",12,"GO:1901261",14.3304096858909,0,"regulation of sorocarp spore cell differentiation","regulation of sorocarp spore cell differentiation",0.89270036101083,0.55225,0
"GO:0099139","GO:0099139",12,"GO:1901261",14.3304096858909,0,"cheating during chimeric sorocarp development","regulation of sorocarp spore cell differentiation",0.907620938628159,0.541666666666667,0.859
"GO:0044058","GO:0044058",6,"GO:0006937",14.3304096858909,0,"regulation of digestive system process","regulation of muscle contraction",0.883436823104693,0.519117647058823,0.488
"GO:0031156","GO:0031156",12,"GO:1901261",14.3304096858909,0,"regulation of sorocarp development","regulation of sorocarp spore cell differentiation",0.891678700361011,0.50025,0.657
"GO:0044671","GO:0044671",12,"GO:1901261",14.3304096858909,0,"sorocarp spore cell differentiation","regulation of sorocarp spore cell differentiation",0.902685920577617,0.495583333333333,0.735
"GO:0099135","GO:0099135",12,"GO:1901261",14.3304096858909,0,"chimeric colonial development","regulation of sorocarp spore cell differentiation",0.909884476534296,0.491,0.307
"GO:0099136","GO:0099136",12,"GO:1901261",14.3304096858909,0,"chimeric non-reproductive fruiting body development","regulation of sorocarp spore cell differentiation",0.926317689530686,0.48725,0.317
"GO:0099134","GO:0099134",12,"GO:1901261",14.3304096858909,0,"chimeric sorocarp development","regulation of sorocarp spore cell differentiation",0.936451263537906,0.483666666666667,0.341
"GO:0048837","GO:0048837",12,"GO:1901261",14.3304096858909,0,"sorocarp sorus development","regulation of sorocarp spore cell differentiation",0.917007220216607,0.42075,0.577
"GO:0031154","GO:0031154",12,"GO:1901261",14.3304096858909,0,"culmination involved in sorocarp development","regulation of sorocarp spore cell differentiation",0.914462093862816,0.407916666666667,0.53
"GO:0007168","GO:0007168",7,"GO:0001402",14.2180600765907,16,"receptor guanylyl cyclase signaling pathway","signal transduction involved in filamentous growth",0.898819494584838,0.7105,0.601
"GO:0071554","GO:0071554",2,"GO:1990227",13.753173278288,0,"cell wall organization or biogenesis","paranodal junction maintenance",0.839963898916968,0.700551724137931,0.225
"GO:0046068","GO:0046068",11,"GO:0006182",13.5118152877197,0,"cGMP metabolic process","cGMP biosynthetic process",0.910718411552347,0.4858,0.66
"GO:0015879","GO:0015879",13,"GO:0015879",13.4960487683231,1,"carnitine transport","carnitine transport",0.919913357400722,0.531333333333333,0
"GO:0015838","GO:0015838",13,"GO:0015879",13.4960487683231,1,"amino-acid betaine transport","carnitine transport",0.915324909747292,0.505904761904762,0.906
"GO:0072337","GO:0072337",13,"GO:0015879",13.334043970546,0,"modified amino acid transport","carnitine transport",0.902440433212996,0.509047619047619,0.706
"GO:0006941","GO:0006941",3,"GO:0003012",12.9723819317382,1,"striated muscle contraction","muscle system process",0.910617328519856,0.546454545454546,0.689
"GO:0030913","GO:0030913",14,"GO:0030913",12.8781120148963,1,"paranodal junction assembly","paranodal junction assembly",0.916790613718412,0.646142857142857,0
"GO:0050904","GO:0050904",15,"GO:0050904",12.8583679567006,0,"diapedesis","diapedesis",0.912357400722022,0.593333333333333,0
"GO:0030865","GO:0030865",2,"GO:1990227",12.4423834453349,12,"cortical cytoskeleton organization","paranodal junction maintenance",0.908184115523466,0.685137931034483,0.21
"GO:0002523","GO:0002523",15,"GO:0050904",12.2302945330077,4,"leukocyte migration involved in inflammatory response","diapedesis",0.916696750902527,0.651666666666667,0.605
"GO:0009190","GO:0009190",11,"GO:0006182",12.0784718486789,27,"cyclic nucleotide biosynthetic process","cGMP biosynthetic process",0.91141155234657,0.4348,0.673
"GO:0034637","GO:0034637",8,"GO:0006074",11.982008148765,0,"cellular carbohydrate biosynthetic process","(1->3)-beta-D-glucan metabolic process",0.879527075812274,0.504266666666667,0.39
"GO:0099120","GO:0099120",12,"GO:1901261",11.5683080949248,0,"socially cooperative development","regulation of sorocarp spore cell differentiation",0.890014440433213,0.441916666666667,0.389
"GO:0030587","GO:0030587",12,"GO:1901261",11.5683080949248,0,"sorocarp development","regulation of sorocarp spore cell differentiation",0.919079422382671,0.4155,0.456
"GO:0050892","GO:0050892",6,"GO:0006937",11.4631386669255,2,"intestinal absorption","regulation of muscle contraction",0.882072202166065,0.725588235294118,0.188
"GO:1902992","GO:1902992",16,"GO:1902992",11.3304096858909,0,"negative regulation of amyloid precursor protein catabolic process","negative regulation of amyloid precursor protein catabolic process",0.904346570397112,0.60252,0
"GO:1904778","GO:1904778",4,"GO:0071205",10.8865451824332,0,"positive regulation of protein localization to cell cortex","protein localization to juxtaparanode region of axon",0.899602888086643,0.505785714285714,0.36
