"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:1902495","GO:1902495",1,"GO:1902495",22.3263433308581,1,"transmembrane transporter complex","transmembrane transporter complex",0.786377049180328,0.570142857142857,0
"GO:1990351","GO:1990351",2,"GO:1990351",20.9447937383742,0,"transporter complex","transporter complex",0.826786885245902,0.711333333333333,0
"GO:0044224","GO:0044224",3,"GO:0044224",20.6907603053865,7,"juxtaparanode region of axon","juxtaparanode region of axon",0.777672131147541,0.770068965517241,0
"GO:0030017","GO:0030017",3,"GO:0044224",11.6273733265221,11,"sarcomere","juxtaparanode region of axon",0.714868852459016,0.623137931034483,0.242
"GO:0061617","GO:0061617",1,"GO:1902495",9.74067375571829,15,"MICOS complex","transmembrane transporter complex",0.824393442622951,0.772142857142857,0.36
"GO:0033017","GO:0033017",3,"GO:0044224",9.70978354269989,10,"sarcoplasmic reticulum membrane","juxtaparanode region of axon",0.772114754098361,0.641068965517241,0.124
"GO:0097418","GO:0097418",3,"GO:0044224",9.45667709935309,0,"neurofibrillary tangle","juxtaparanode region of axon",0.792,0.762758620689655,0.257
"GO:0098894","GO:0098894",4,"GO:0098894",9.45667709935309,5,"extrinsic component of presynaptic endocytic zone membrane","extrinsic component of presynaptic endocytic zone membrane",0.829475409836066,0.664214285714286,0
"GO:1990425","GO:1990425",3,"GO:0044224",9.3502217684388,0,"ryanodine receptor complex","juxtaparanode region of axon",0.765918032786885,0.703,0.104
"GO:0070381","GO:0070381",3,"GO:0044224",8.77093536075082,0,"endosome to plasma membrane transport vesicle","juxtaparanode region of axon",0.806081967213115,0.732793103448276,0.179
"GO:0016529","GO:0016529",3,"GO:0044224",8.36773601601631,31,"sarcoplasmic reticulum","juxtaparanode region of axon",0.724327868852459,0.57248275862069,0.18
"GO:0033270","GO:0033270",3,"GO:0044224",8.29282029671442,6,"paranode region of axon","juxtaparanode region of axon",0.777672131147541,0.770068965517241,0.758
"GO:0098688","GO:0098688",4,"GO:0098894",8.19040920994832,0,"parallel fiber to Purkinje cell synapse","extrinsic component of presynaptic endocytic zone membrane",0.83155737704918,0.731285714285714,0.232
"GO:0005833","GO:0005833",3,"GO:0044224",8.11425441853088,28,"hemoglobin complex","juxtaparanode region of axon",0.713377049180328,0.664413793103448,0.26
"GO:0005891","GO:0005891",1,"GO:1902495",8.11425441853088,52,"voltage-gated calcium channel complex","transmembrane transporter complex",0.80255737704918,0.550857142857143,0.652
"GO:0070937","GO:0070937",3,"GO:0044224",7.98410347238415,5,"CRD-mediated mRNA stability complex","juxtaparanode region of axon",0.690032786885246,0.628862068965517,0.271
"GO:0044304","GO:0044304",3,"GO:0044224",7.87421266408851,1,"main axon","juxtaparanode region of axon",0.771868852459016,0.762827586206897,0.876
"GO:0106002","GO:0106002",3,"GO:0044224",7.7825306787421,0,"mCRD-mediated mRNA stability complex","juxtaparanode region of axon",0.713377049180328,0.664413793103448,0.26
"GO:0005861","GO:0005861",3,"GO:0044224",7.65624945425829,48,"troponin complex","juxtaparanode region of axon",0.754,0.68148275862069,0.181
"GO:0005865","GO:0005865",3,"GO:0044224",7.49053536661406,8,"striated muscle thin filament","juxtaparanode region of axon",0.776032786885246,0.687758620689655,0.178
"GO:0033018","GO:0033018",3,"GO:0044224",7.42803191790356,5,"sarcoplasmic reticulum lumen","juxtaparanode region of axon",0.780573770491803,0.652689655172414,0.14
"GO:0014802","GO:0014802",3,"GO:0044224",7.42803191790356,0,"terminal cisterna","juxtaparanode region of axon",0.752393442622951,0.616827586206897,0.164
"GO:0060076","GO:0060076",4,"GO:0098894",7.2743368910204,6,"excitatory synapse","extrinsic component of presynaptic endocytic zone membrane",0.802868852459016,0.690571428571429,0.288
"GO:0033655","GO:0033655",5,"GO:0033655",7.17887694440758,0,"host cell cytoplasm part","host cell cytoplasm part",0.821885245901639,0.418875,0
"GO:0000137","GO:0000137",3,"GO:0044224",6.67852584896944,2,"Golgi cis cisterna","juxtaparanode region of axon",0.790196721311475,0.69448275862069,0.169
"GO:0030430","GO:0030430",5,"GO:0033655",6.50589512202327,0,"host cell cytoplasm","host cell cytoplasm part",0.809540983606557,0.391,0.879
"GO:0043656","GO:0043656",5,"GO:0033655",6.50589512202327,0,"host intracellular region","host cell cytoplasm part",0.783065573770492,0.38125,0.69
"GO:0033646","GO:0033646",5,"GO:0033655",6.50589512202327,0,"host intracellular part","host cell cytoplasm part",0.793131147540984,0.371625,0.799
"GO:0098888","GO:0098888",4,"GO:0098894",6.40056115737416,0,"extrinsic component of presynaptic membrane","extrinsic component of presynaptic endocytic zone membrane",0.819393442622951,0.656357142857143,0.843
"GO:0020003","GO:0020003",5,"GO:0033655",6.31054906367485,0,"symbiont-containing vacuole","host cell cytoplasm part",0.831852459016393,0.56075,0.697
