"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0005261","GO:0005261",1,"GO:0005261",24.6463145312965,43,"monoatomic cation channel activity","monoatomic cation channel activity",0.849551020408163,0.5548,0
"GO:0016616","GO:0016616",2,"GO:0016616",24.6463145312965,56,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.860102040816327,0.462333333333333,0
"GO:0051287","GO:0051287",3,"GO:0051287",23.5641277751091,34,"NAD binding","NAD binding",0.892122448979592,0.802666666666667,0
"GO:0016614","GO:0016614",2,"GO:0016616",23.5641277751091,6,"oxidoreductase activity, acting on CH-OH group of donors","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.831602040816326,0.419777777777778,0.812
"GO:0046873","GO:0046873",1,"GO:0005261",22.6920720218572,12,"metal ion transmembrane transporter activity","monoatomic cation channel activity",0.841867346938776,0.56032,0.617
"GO:0106006","GO:0106006",4,"GO:0106006",21.5793677416659,0,"cytoskeletal protein-membrane anchor activity","cytoskeletal protein-membrane anchor activity",0.915020408163265,0.737,0
"GO:1901702","GO:1901702",1,"GO:0005261",21.2281711365362,0,"salt transmembrane transporter activity","monoatomic cation channel activity",0.842265306122449,0.56632,0.404
"GO:0070577","GO:0070577",3,"GO:0051287",21.1482593697412,18,"lysine-acetylated histone binding","NAD binding",0.857836734693878,0.6981,0.147
"GO:0140033","GO:0140033",3,"GO:0051287",21.1482593697412,0,"acetylation-dependent protein binding","NAD binding",0.830959183673469,0.643266666666667,0.173
"GO:0005216","GO:0005216",1,"GO:0005261",18.7432245443045,225,"monoatomic ion channel activity","monoatomic cation channel activity",0.839816326530612,0.55904,0.784
"GO:0015267","GO:0015267",1,"GO:0005261",18.5080118331302,33,"channel activity","monoatomic cation channel activity",0.842908163265306,0.63304,0.53
"GO:0022803","GO:0022803",1,"GO:0005261",18.5080118331302,0,"passive transmembrane transporter activity","monoatomic cation channel activity",0.814663265306122,0.58644,0.454
"GO:0022890","GO:0022890",1,"GO:0005261",16.4592278879393,1,"inorganic cation transmembrane transporter activity","monoatomic cation channel activity",0.822071428571429,0.50816,0.731
"GO:0015318","GO:0015318",1,"GO:0005261",14.2088659813408,0,"inorganic molecular entity transmembrane transporter activity","monoatomic cation channel activity",0.809285714285714,0.56536,0.473
"GO:0072349","GO:0072349",1,"GO:0005261",14.0323553166688,0,"modified amino acid transmembrane transporter activity","monoatomic cation channel activity",0.844857142857143,0.59784,0.296
"GO:0008324","GO:0008324",1,"GO:0005261",13.8651577707731,14,"monoatomic cation transmembrane transporter activity","monoatomic cation channel activity",0.804479591836735,0.4824,0.547
"GO:0008093","GO:0008093",4,"GO:0106006",13.3326954083245,10,"cytoskeletal anchor activity","cytoskeletal protein-membrane anchor activity",0.887040816326531,0.721375,0.717
"GO:0043914","GO:0043914",2,"GO:0016616",12.8224057903522,2,"NADPH:sulfur oxidoreductase activity","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.843377551020408,0.548,0.491
"GO:0005179","GO:0005179",5,"GO:0005179",12.7687209313894,139,"hormone activity","hormone activity",0.863663265306122,0.6345,0
"GO:0015226","GO:0015226",1,"GO:0005261",12.5494045182884,1,"carnitine transmembrane transporter activity","monoatomic cation channel activity",0.864673469387755,0.612,0.293
"GO:0005034","GO:0005034",4,"GO:0106006",12.3664738347024,0,"osmosensor activity","cytoskeletal protein-membrane anchor activity",0.89219387755102,0.82525,0.101
"GO:0051082","GO:0051082",3,"GO:0051287",12.0947906045666,99,"unfolded protein binding","NAD binding",0.803204081632653,0.6038,0.218
"GO:0022857","GO:0022857",1,"GO:0005261",11.2298911169304,248,"transmembrane transporter activity","monoatomic cation channel activity",0.771122448979592,0.51888,0.385
"GO:0015075","GO:0015075",1,"GO:0005261",10.6907336710849,7,"monoatomic ion transmembrane transporter activity","monoatomic cation channel activity",0.790091836734694,0.49012,0.473
"GO:0015651","GO:0015651",1,"GO:0005261",9.67627775467393,3,"quaternary ammonium group transmembrane transporter activity","monoatomic cation channel activity",0.847836734693878,0.56888,0.343
"GO:0140299","GO:0140299",4,"GO:0106006",9.33731560596124,0,"small molecule sensor activity","cytoskeletal protein-membrane anchor activity",0.806438775510204,0.734375,0.182
