"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0048002","GO:0048002",1,"GO:0048002",7.67369691725021,0,"antigen processing and presentation of peptide antigen","antigen processing and presentation of peptide antigen",0.843754098360656,0.4035,0
"GO:0019882","GO:0019882",1,"GO:0048002",7.43848420607587,34,"antigen processing and presentation","antigen processing and presentation of peptide antigen",0.823229508196721,0.424375,0.788
"GO:0002474","GO:0002474",1,"GO:0048002",6.7867364305588,3,"antigen processing and presentation of peptide antigen via MHC class I","antigen processing and presentation of peptide antigen",0.871147540983607,0.500625,0.812
"GO:0140467","GO:0140467",2,"GO:0140467",6.58224979994365,2,"integrated stress response signaling","integrated stress response signaling",0.88527868852459,0.759,0
"GO:0050896","GO:0050896",2,"GO:0140467",5.86078356060735,125,"response to stimulus","integrated stress response signaling",0.794360655737705,0.599571428571429,0.43
"GO:0010616","GO:0010616",3,"GO:0010616",5.70657814364486,0,"negative regulation of cardiac muscle adaptation","negative regulation of cardiac muscle adaptation",0.866573770491803,0.619363636363636,0
"GO:0010612","GO:0010612",3,"GO:0010616",5.44416133896756,0,"regulation of cardiac muscle adaptation","negative regulation of cardiac muscle adaptation",0.854901639344262,0.594909090909091,0.81
"GO:0014745","GO:0014745",3,"GO:0010616",5.30378563217841,0,"negative regulation of muscle adaptation","negative regulation of cardiac muscle adaptation",0.853344262295082,0.624545454545455,0.839
"GO:0031343","GO:0031343",4,"GO:0031343",5.0453079871999,0,"positive regulation of cell killing","positive regulation of cell killing",0.86527868852459,0.680111111111111,0
"GO:0014887","GO:0014887",3,"GO:0010616",5.0453079871999,0,"cardiac muscle adaptation","negative regulation of cardiac muscle adaptation",0.849360655737705,0.574090909090909,0.533
"GO:0045669","GO:0045669",4,"GO:0031343",4.74311832600868,4,"positive regulation of osteoblast differentiation","positive regulation of cell killing",0.880967213114754,0.747,0.373
"GO:0048286","GO:0048286",5,"GO:0048286",4.59527030993616,0,"lung alveolus development","lung alveolus development",0.885754098360656,0.56475,0
"GO:0048839","GO:0048839",5,"GO:0048286",4.57678690424215,43,"inner ear development","lung alveolus development",0.87483606557377,0.54975,0.498
"GO:0031341","GO:0031341",4,"GO:0031343",4.42188494425641,0,"regulation of cell killing","positive regulation of cell killing",0.842655737704918,0.637222222222222,0.771
"GO:0060426","GO:0060426",5,"GO:0048286",4.39115032728024,1,"lung vasculature development","lung alveolus development",0.911,0.6035,0.741
"GO:0043583","GO:0043583",5,"GO:0048286",4.32606202688957,5,"ear development","lung alveolus development",0.886852459016393,0.5495,0.502
"GO:0045444","GO:0045444",4,"GO:0031343",4.22177509611192,5,"fat cell differentiation","positive regulation of cell killing",0.877950819672131,0.770888888888889,0.164
"GO:0002476","GO:0002476",1,"GO:0048002",4.15657050085896,0,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib","antigen processing and presentation of peptide antigen",0.893409836065574,0.51475,0.528
"GO:0002428","GO:0002428",1,"GO:0048002",4.15657050085896,0,"antigen processing and presentation of peptide antigen via MHC class Ib","antigen processing and presentation of peptide antigen",0.873032786885246,0.4685,0.717
"GO:0003300","GO:0003300",3,"GO:0010616",4.06490354326328,0,"cardiac muscle hypertrophy","negative regulation of cardiac muscle adaptation",0.887065573770492,0.637181818181818,0.168
